Run,OS,Combination,Time(m)Raw,Min,Seconds,Time(m)Normalized,Accelerator,Integrator
1,Ubuntu-22-04-WSL,killeroo-gold_bvh_volpath.pbrt,6m28.194s,6,28.194,6.4699,bvh,volpath
1,Ubuntu-22-04-VM,pavilion-day_bvh_volpath.pbrt,25m18.006s,25,18.006,25.3001,bvh,volpath
1,Ubuntu-22-04-VM,dragon-10_bvh_volpath.pbrt,11m58.110s,11,58.11,11.9685,bvh,volpath
1,Ubuntu-22-04-VM,pavilion-day_kdtree_volpath.pbrt,24m20.155s,24,20.155,24.33591667,kdtree,volpath
1,Ubuntu-22-04-VM,dragon-10_kdtree_path.pbrt,29m39.730s,29,39.73,29.66216667,kdtree,path
1,Ubuntu-22-04-VM,vw-van_kdtree_volpath.pbrt,15m30.578s,15,30.578,15.50963333,kdtree,volpath
1,Ubuntu-22-04-VM,killeroo-gold_kdtree_path.pbrt,9m50.311s,9,50.311,9.838516667,kdtree,path
1,Ubuntu-22-04-VM,dragon-10_kdtree_volpath.pbrt,30m59.875s,30,59.875,30.99791667,kdtree,volpath
1,Ubuntu-22-04-VM,vw-van_kdtree_path.pbrt,15m0.554s,15,0.554,15.00923333,kdtree,path
1,Ubuntu-22-04-VM,killeroo-gold_bvh_path.pbrt,6m45.497s,6,45.497,6.758283333,bvh,path
1,Ubuntu-22-04-VM,vw-van_bvh_path.pbrt,12m9.517s,12,9.517,12.15861667,bvh,path
1,Ubuntu-22-04-VM,killeroo-gold_kdtree_volpath.pbrt,10m5.248s,10,5.248,10.08746667,kdtree,volpath
1,Ubuntu-22-04-VM,pavilion-day_kdtree_path.pbrt,21m25.140s,21,25.14,21.419,kdtree,path
1,Ubuntu-22-04-VM,pavilion-day_bvh_path.pbrt,22m9.751s,22,9.751,22.16251667,bvh,path
1,Ubuntu-22-04-VM,dragon-10_bvh_path.pbrt,11m33.989s,11,33.989,11.56648333,bvh,path
1,Ubuntu-22-04-VM,vw-van_bvh_volpath.pbrt,12m29.515s,12,29.515,12.49191667,bvh,volpath
1,Ubuntu-22-04-VM,killeroo-gold_bvh_volpath.pbrt,6m53.513s,6,53.513,6.891883333,bvh,volpath
1,Ubuntu-22-04,vw-van_kdtree_path.pbrt,14m5.199s,14,5.199,14.08665,kdtree,path
1,Ubuntu-22-04,vw-van_bvh_volpath.pbrt,11m59.228s,11,59.228,11.98713333,bvh,volpath
1,Ubuntu-22-04,dragon-10_bvh_volpath.pbrt,10m53.495s,10,53.495,10.89158333,bvh,volpath
1,Ubuntu-22-04,dragon-10_kdtree_volpath.pbrt,27m26.677s,27,26.677,27.44461667,kdtree,volpath
1,Ubuntu-22-04,pavilion-day_bvh_path.pbrt,22m34.292s,22,34.292,22.57153333,bvh,path
1,Ubuntu-22-04,pavilion-day_kdtree_volpath.pbrt,24m29.790s,24,29.79,24.4965,kdtree,volpath
1,Ubuntu-22-04,vw-van_kdtree_volpath.pbrt,14m55.609s,14,55.609,14.92681667,kdtree,volpath
1,Ubuntu-22-04,pavilion-day_kdtree_path.pbrt,21m29.795s,21,29.795,21.49658333,kdtree,path
1,Ubuntu-22-04,vw-van_bvh_path.pbrt,11m39.272s,11,39.272,11.65453333,bvh,path
1,Ubuntu-22-04,dragon-10_bvh_path.pbrt,10m38.309s,10,38.309,10.63848333,bvh,path
1,Ubuntu-22-04,killeroo-gold_bvh_volpath.pbrt,7m4.244s,7,4.244,7.070733333,bvh,volpath
1,Ubuntu-22-04,dragon-10_kdtree_path.pbrt,26m41.593s,26,41.593,26.69321667,kdtree,path
1,Ubuntu-22-04,killeroo-gold_kdtree_path.pbrt,10m0.129s,10,0.129,10.00215,kdtree,path
1,Ubuntu-22-04,killeroo-gold_bvh_path.pbrt,6m55.255s,6,55.255,6.920916667,bvh,path
1,Ubuntu-22-04,killeroo-gold_kdtree_volpath.pbrt,10m25.058s,10,25.058,10.41763333,kdtree,volpath
1,Ubuntu-22-04,pavilion-day_bvh_volpath.pbrt,25m29.335s,25,29.335,25.48891667,bvh,volpath
2,Ubuntu-22-04-VM,pavilion-day_bvh_path.pbrt,22m39.581s,22,39.581,22.65968333,bvh,path
2,Ubuntu-22-04-VM,dragon-10_bvh_volpath.pbrt,12m1.240s,12,1.24,12.02066667,bvh,volpath
2,Ubuntu-22-04-VM,pavilion-day_bvh_volpath.pbrt,25m34.793s,25,34.793,25.57988333,bvh,volpath
2,Ubuntu-22-04-VM,killeroo-gold_kdtree_path.pbrt,10m5.295s,10,5.295,10.08825,kdtree,path
2,Ubuntu-22-04-VM,killeroo-gold_kdtree_volpath.pbrt,10m10.324s,10,10.324,10.17206667,kdtree,volpath
2,Ubuntu-22-04-VM,vw-van_bvh_volpath.pbrt,12m29.719s,12,29.719,12.49531667,bvh,volpath
2,Ubuntu-22-04-VM,dragon-10_kdtree_path.pbrt,29m25.042s,29,25.042,29.41736667,kdtree,path
2,Ubuntu-22-04-VM,vw-van_bvh_path.pbrt,12m14.623s,12,14.623,12.24371667,bvh,path
2,Ubuntu-22-04-VM,killeroo-gold_bvh_volpath.pbrt,6m57.539s,6,57.539,6.958983333,bvh,volpath
2,Ubuntu-22-04-VM,vw-van_kdtree_volpath.pbrt,15m45.468s,15,45.468,15.7578,kdtree,volpath
2,Ubuntu-22-04-VM,killeroo-gold_bvh_path.pbrt,6m47.455s,6,47.455,6.790916667,bvh,path
2,Ubuntu-22-04-VM,pavilion-day_kdtree_volpath.pbrt,24m45.424s,24,45.424,24.75706667,kdtree,volpath
2,Ubuntu-22-04-VM,pavilion-day_kdtree_path.pbrt,21m40.164s,21,40.164,21.6694,kdtree,path
2,Ubuntu-22-04-VM,dragon-10_kdtree_volpath.pbrt,30m15.036s,30,15.036,30.2506,kdtree,volpath
2,Ubuntu-22-04-VM,dragon-10_bvh_path.pbrt,11m39.282s,11,39.282,11.6547,bvh,path
2,Ubuntu-22-04-VM,vw-van_kdtree_path.pbrt,15m15.534s,15,15.534,15.2589,kdtree,path
2,Windows11,pavilion-day_bvh_path.pbrt,24.5699359,,,24.5699359,bvh,path
2,Windows11,dragon-10_kdtree_volpath.pbrt,34.04675609,,,34.04675609,kdtree,volpath
2,Windows11,killeroo-gold_kdtree_path.pbrt,12.05222198,,,12.05222198,kdtree,path
2,Windows11,dragon-10_bvh_path.pbrt,11.26684143,,,11.26684143,bvh,path
2,Windows11,pavilion-day_kdtree_path.pbrt,25.41080118,,,25.41080118,kdtree,path
2,Windows11,dragon-10_bvh_volpath.pbrt,11.60400971,,,11.60400971,bvh,volpath
2,Windows11,pavilion-day_kdtree_volpath.pbrt,28.84032557,,,28.84032557,kdtree,volpath
2,Windows11,killeroo-gold_bvh_volpath.pbrt,7.977077028,,,7.977077028,bvh,volpath
2,Windows11,vw-van_bvh_volpath.pbrt,14.23166845,,,14.23166845,bvh,volpath
2,Windows11,dragon-10_kdtree_path.pbrt,33.02836691,,,33.02836691,kdtree,path
2,Windows11,killeroo-gold_bvh_path.pbrt,7.892863263,,,7.892863263,bvh,path
2,Windows11,vw-van_bvh_path.pbrt,13.80992901,,,13.80992901,bvh,path
2,Windows11,vw-van_kdtree_path.pbrt,17.74479391,,,17.74479391,kdtree,path
2,Windows11,killeroo-gold_kdtree_volpath.pbrt,12.55408947,,,12.55408947,kdtree,volpath
2,Windows11,vw-van_kdtree_volpath.pbrt,18.58511358,,,18.58511358,kdtree,volpath
2,Windows11,pavilion-day_bvh_volpath.pbrt,27.99919307,,,27.99919307,bvh,volpath
2,Ubuntu-22-04-VM-Minimal,killeroo-gold_bvh_path.pbrt,6m41.850s,6,41.85,6.6975,bvh,path
2,Ubuntu-22-04-VM-Minimal,vw-van_bvh_path.pbrt,11m56.504s,11,56.504,11.94173333,bvh,path
2,Ubuntu-22-04-VM-Minimal,dragon-10_bvh_path.pbrt,11m17.860s,11,17.86,11.29766667,bvh,path
2,Ubuntu-22-04-VM-Minimal,killeroo-gold_bvh_volpath.pbrt,6m44.468s,6,44.468,6.741133333,bvh,volpath
2,Ubuntu-22-04-VM-Minimal,pavilion-day_kdtree_path.pbrt,20m50.214s,20,50.214,20.8369,kdtree,path
2,Ubuntu-22-04-VM-Minimal,dragon-10_kdtree_path.pbrt,29m4.534s,29,4.534,29.07556667,kdtree,path
2,Ubuntu-22-04-VM-Minimal,vw-van_bvh_volpath.pbrt,12m14.505s,12,14.505,12.24175,bvh,volpath
2,Ubuntu-22-04-VM-Minimal,vw-van_kdtree_volpath.pbrt,15m10.394s,15,10.394,15.17323333,kdtree,volpath
2,Ubuntu-22-04-VM-Minimal,pavilion-day_kdtree_volpath.pbrt,23m45.096s,23,45.096,23.7516,kdtree,volpath
2,Ubuntu-22-04-VM-Minimal,vw-van_kdtree_path.pbrt,14m40.320s,14,40.32,14.672,kdtree,path
2,Ubuntu-22-04-VM-Minimal,dragon-10_kdtree_volpath.pbrt,29m59.658s,29,59.658,29.9943,kdtree,volpath
2,Ubuntu-22-04-VM-Minimal,dragon-10_bvh_volpath.pbrt,11m53.867s,11,53.867,11.89778333,bvh,volpath
2,Ubuntu-22-04-VM-Minimal,pavilion-day_bvh_path.pbrt,21m49.861s,21,49.861,21.83101667,bvh,path
2,Ubuntu-22-04-VM-Minimal,killeroo-gold_kdtree_volpath.pbrt,9m50.294s,9,50.294,9.838233333,kdtree,volpath
2,Ubuntu-22-04-VM-Minimal,killeroo-gold_kdtree_path.pbrt,9m35.236s,9,35.236,9.587266667,kdtree,path
2,Ubuntu-22-04-VM-Minimal,pavilion-day_bvh_volpath.pbrt,24m39.625s,24,39.625,24.66041667,bvh,volpath
2,Ubuntu-22-04-WSL,dragon-10_bvh_path.pbrt,10m2.960s,10,2.96,10.04933333,bvh,path
2,Ubuntu-22-04-WSL,pavilion-day_bvh_path.pbrt,20m29.069s,20,29.069,20.48448333,bvh,path
2,Ubuntu-22-04-WSL,killeroo-gold_kdtree_path.pbrt,9m14.950s,9,14.95,9.249166667,kdtree,path
2,Ubuntu-22-04-WSL,vw-van_kdtree_volpath.pbrt,13m54.939s,13,54.939,13.91565,kdtree,volpath
2,Ubuntu-22-04-WSL,pavilion-day_bvh_volpath.pbrt,23m9.093s,23,9.093,23.15155,bvh,volpath
2,Ubuntu-22-04-WSL,killeroo-gold_bvh_volpath.pbrt,6m25.196s,6,25.196,6.419933333,bvh,volpath
2,Ubuntu-22-04-WSL,pavilion-day_kdtree_volpath.pbrt,22m34.454s,22,34.454,22.57423333,kdtree,volpath
2,Ubuntu-22-04-WSL,vw-van_bvh_volpath.pbrt,11m4.004s,11,4.004,11.06673333,bvh,volpath
2,Ubuntu-22-04-WSL,dragon-10_kdtree_volpath.pbrt,26m48.397s,26,48.397,26.80661667,kdtree,volpath
2,Ubuntu-22-04-WSL,dragon-10_bvh_volpath.pbrt,10m12.785s,10,12.785,10.21308333,bvh,volpath
2,Ubuntu-22-04-WSL,pavilion-day_kdtree_path.pbrt,19m29.431s,19,29.431,19.49051667,kdtree,path
2,Ubuntu-22-04-WSL,vw-van_kdtree_path.pbrt,13m29.846s,13,29.846,13.49743333,kdtree,path
2,Ubuntu-22-04-WSL,dragon-10_kdtree_path.pbrt,25m58.323s,25,58.323,25.97205,kdtree,path
2,Ubuntu-22-04-WSL,killeroo-gold_kdtree_volpath.pbrt,9m24.935s,9,24.935,9.415583333,kdtree,volpath
2,Ubuntu-22-04-WSL,killeroo-gold_bvh_path.pbrt,6m19.191s,6,19.191,6.31985,bvh,path
2,Ubuntu-22-04-WSL,vw-van_bvh_path.pbrt,10m44.031s,10,44.031,10.73385,bvh,path
2,Ubuntu-22-04,vw-van_bvh_volpath.pbrt,11m34.133s,11,34.133,11.56888333,bvh,volpath
2,Ubuntu-22-04,dragon-10_kdtree_path.pbrt,27m21.528s,27,21.528,27.3588,kdtree,path
2,Ubuntu-22-04,vw-van_kdtree_volpath.pbrt,16m41.519s,16,41.519,16.69198333,kdtree,volpath
2,Ubuntu-22-04,dragon-10_bvh_volpath.pbrt,12m13.468s,12,13.468,12.22446667,bvh,volpath
2,Ubuntu-22-04,vw-van_bvh_path.pbrt,13m14.259s,13,14.259,13.23765,bvh,path
2,Ubuntu-22-04,killeroo-gold_bvh_path.pbrt,8m8.254s,8,8.254,8.137566667,bvh,path
2,Ubuntu-22-04,killeroo-gold_kdtree_volpath.pbrt,12m0.292s,12,0.292,12.00486667,kdtree,volpath
2,Ubuntu-22-04,vw-van_kdtree_path.pbrt,13m25.340s,13,25.34,13.42233333,kdtree,path
2,Ubuntu-22-04,pavilion-day_bvh_path.pbrt,20m19.344s,20,19.344,20.3224,bvh,path
2,Ubuntu-22-04,killeroo-gold_kdtree_path.pbrt,9m4.905s,9,4.905,9.08175,kdtree,path
2,Ubuntu-22-04,dragon-10_bvh_path.pbrt,9m58.110s,9,58.11,9.9685,bvh,path
2,Ubuntu-22-04,pavilion-day_kdtree_volpath.pbrt,22m4.665s,22,4.665,22.07775,kdtree,volpath
2,Ubuntu-22-04,pavilion-day_kdtree_path.pbrt,19m24.558s,19,24.558,19.4093,kdtree,path
2,Ubuntu-22-04,pavilion-day_bvh_volpath.pbrt,22m59.217s,22,59.217,22.98695,bvh,volpath
2,Ubuntu-22-04,dragon-10_kdtree_volpath.pbrt,26m16.242s,26,16.242,26.2707,kdtree,volpath
2,Ubuntu-22-04,killeroo-gold_bvh_volpath.pbrt,6m18.144s,6,18.144,6.3024,bvh,volpath
3,Ubuntu-22-04-VM,pavilion-day_bvh_path.pbrt,22m38.412s,22,38.412,22.6402,bvh,path
3,Ubuntu-22-04-VM,pavilion-day_bvh_volpath.pbrt,25m30.145s,25,30.145,25.50241667,bvh,volpath
3,Ubuntu-22-04-VM,pavilion-day_kdtree_volpath.pbrt,24m30.836s,24,30.836,24.51393333,kdtree,volpath
3,Ubuntu-22-04-VM,vw-van_bvh_volpath.pbrt,12m34.808s,12,34.808,12.58013333,bvh,volpath
3,Ubuntu-22-04-VM,killeroo-gold_kdtree_path.pbrt,9m55.401s,9,55.401,9.92335,kdtree,path
3,Ubuntu-22-04-VM,pavilion-day_kdtree_path.pbrt,21m35.521s,21,35.521,21.59201667,kdtree,path
3,Ubuntu-22-04-VM,dragon-10_bvh_path.pbrt,11m45.857s,11,45.857,11.76428333,bvh,path
3,Ubuntu-22-04-VM,dragon-10_bvh_volpath.pbrt,12m8.429s,12,8.429,12.14048333,bvh,volpath
3,Ubuntu-22-04-VM,killeroo-gold_kdtree_volpath.pbrt,10m10.461s,10,10.461,10.17435,kdtree,volpath
3,Ubuntu-22-04-VM,killeroo-gold_bvh_volpath.pbrt,6m56.653s,6,56.653,6.944216667,bvh,volpath
3,Ubuntu-22-04-VM,dragon-10_kdtree_volpath.pbrt,30m34.324s,30,34.324,30.57206667,kdtree,volpath
3,Ubuntu-22-04-VM,vw-van_kdtree_path.pbrt,15m15.635s,15,15.635,15.26058333,kdtree,path
3,Ubuntu-22-04-VM,vw-van_kdtree_volpath.pbrt,16m0.698s,16,0.698,16.01163333,kdtree,volpath
3,Ubuntu-22-04-VM,dragon-10_kdtree_path.pbrt,29m49.879s,29,49.879,29.83131667,kdtree,path
3,Ubuntu-22-04-VM,vw-van_bvh_path.pbrt,12m19.708s,12,19.708,12.32846667,bvh,path
3,Ubuntu-22-04-VM,killeroo-gold_bvh_path.pbrt,6m49.607s,6,49.607,6.826783333,bvh,path
3,Ubuntu-22-04,dragon-10_bvh_path.pbrt,9m58.268s,9,58.268,9.971133333,bvh,path
3,Ubuntu-22-04,pavilion-day_bvh_path.pbrt,20m19.248s,20,19.248,20.3208,bvh,path
3,Ubuntu-22-04,vw-van_bvh_path.pbrt,10m44.125s,10,44.125,10.73541667,bvh,path
3,Ubuntu-22-04,vw-van_kdtree_volpath.pbrt,13m45.461s,13,45.461,13.75768333,kdtree,volpath
3,Ubuntu-22-04,vw-van_bvh_volpath.pbrt,10m59.160s,10,59.16,10.986,bvh,volpath
3,Ubuntu-22-04,pavilion-day_kdtree_path.pbrt,19m19.574s,19,19.574,19.32623333,kdtree,path
3,Ubuntu-22-04,killeroo-gold_bvh_path.pbrt,6m9.198s,6,9.198,6.1533,bvh,path
3,Ubuntu-22-04,killeroo-gold_kdtree_path.pbrt,9m5.029s,9,5.029,9.083816667,kdtree,path
3,Ubuntu-22-04,dragon-10_kdtree_volpath.pbrt,26m23.575s,26,23.575,26.39291667,kdtree,volpath
3,Ubuntu-22-04,pavilion-day_bvh_volpath.pbrt,22m59.260s,22,59.26,22.98766667,bvh,volpath
3,Ubuntu-22-04,killeroo-gold_bvh_volpath.pbrt,6m18.183s,6,18.183,6.30305,bvh,volpath
3,Ubuntu-22-04,dragon-10_bvh_volpath.pbrt,10m13.063s,10,13.063,10.21771667,bvh,volpath
3,Ubuntu-22-04,killeroo-gold_kdtree_volpath.pbrt,9m14.896s,9,14.896,9.248266667,kdtree,volpath
3,Ubuntu-22-04,pavilion-day_kdtree_volpath.pbrt,21m59.584s,21,59.584,21.99306667,kdtree,volpath
3,Ubuntu-22-04,vw-van_kdtree_path.pbrt,13m19.972s,13,19.972,13.33286667,kdtree,path
3,Ubuntu-22-04,dragon-10_kdtree_path.pbrt,25m43.288s,25,43.288,25.72146667,kdtree,path
3,Ubuntu-22-04-WSL,pavilion-day_kdtree_volpath.pbrt,22m44.477s,22,44.477,22.74128333,kdtree,volpath
3,Ubuntu-22-04-WSL,dragon-10_kdtree_volpath.pbrt,27m23.537s,27,23.537,27.39228333,kdtree,volpath
