,A.RTX3600,A.RTX3900,A.RX6600,B.RTX3600,B.RTX3900,B.RX6600,C.RTX3600,C.RTX3900
A:RTX3900,0.1945387682378096,,,,,,,
A:RX6600,0.18870975601325882,0.008861010863213972,,,,,,
B:RTX3600,8.999149266277395E-27,3.7004932920703736E-21,3.020752241986558E-33,,,,,
B:RTX3900,1.8570950835875926E-41,1.7637734079121577E-34,4.294952312446176E-49,0.004012662547350229,,,,
B:RX6600,4.2568053991147086E-14,3.5624547050868725E-10,7.204011652979912E-19,0.001429710374315412,9.50346152982012E-10,,,
C:RTX3600,2.253238074407766E-11,6.70234539031292E-8,1.170183090091706E-15,4.4924961458561934E-5,3.0130867193742127E-12,0.38123120194528143,,
C:RTX3900,1.0948204042781799E-16,2.52391543742126E-12,9.172064987584886E-22,0.013795041073141041,7.774604951669632E-8,0.44277574523146324,0.10848923076238982,
C:RX6600,1.0057469229492904E-5,0.0018411265919975853,8.18649259561772E-9,2.0532517911726032E-10,3.127095792104686E-20,0.001825200293933614,0.02368221226486263,1.050854492296131E-4
