Tiempo;Objetos;Arquitectura;Efectos;Resolucion
3.95;4000;APU;NA-NA-NA;1280x720
8.76;65000;APU;NA-TR-NA;1280x720
13.30;260000;APU;NA-NA-NA;1440x900
252.05;260000;APU;AA-TR-RE;1440x900
24.49;65000;APU;NA-TR-RE;1440x900
7.00;1000;APU;AA-NA-RE;1440x900
11.75;260000;APU;NA-NA-NA;1280x720
7.25;1000;APU;AA-TR-NA;1440x900
10.06;65000;APU;NA-TR-NA;1440x900
55.86;16000;APU;AA-TR-RE;1440x900
10.32;65000;APU;NA-TR-NA;1440x900
43.62;65000;APU;AA-NA-RE;1440x900
63.86;260000;APU;NA-TR-RE;1920x1080
7.20;16000;APU;NA-TR-NA;1440x900
84.02;260000;APU;AA-NA-RE;1280x720
249.30;260000;APU;AA-TR-RE;1440x900
11.86;4000;APU;AA-TR-NA;1440x900
16.68;260000;APU;NA-TR-NA;1280x720
8.60;16000;APU;NA-NA-RE;1920x1080
8.53;1000;APU;AA-TR-RE;1440x900
4.60;16000;APU;NA-NA-NA;1280x720
13.82;65000;APU;NA-NA-RE;1920x1080
11.83;260000;APU;NA-NA-NA;1280x720
8.74;65000;APU;NA-TR-NA;1280x720
30.26;65000;APU;AA-TR-NA;1280x720
15.03;4000;APU;AA-NA-RE;1920x1080
5.36;1000;APU;AA-NA-NA;1280x720
7.21;16000;APU;NA-NA-RE;1440x900
6.73;1000;APU;AA-NA-NA;1920x1080
22.35;16000;APU;AA-TR-NA;1440x900
32.92;65000;APU;AA-NA-RE;1280x720
3.74;1000;APU;NA-TR-NA;1280x720
124.67;260000;APU;AA-NA-RE;1920x1080
47.91;260000;APU;AA-NA-NA;1440x900
4.43;1000;APU;NA-TR-NA;1920x1080
9.33;65000;APU;NA-NA-RE;1280x720
8.30;4000;APU;AA-NA-NA;1440x900
30.36;16000;APU;AA-NA-RE;1920x1080
4.23;4000;APU;NA-NA-NA;1280x720
11.89;4000;APU;AA-TR-NA;1440x900
15.20;260000;APU;NA-NA-NA;1920x1080
7.71;65000;APU;NA-NA-NA;1920x1080
16.94;260000;APU;NA-TR-NA;1280x720
36.16;65000;APU;AA-TR-NA;1440x900
77.20;260000;APU;AA-TR-NA;1440x900
3.82;1000;APU;NA-TR-NA;1280x720
92.43;260000;APU;AA-TR-NA;1920x1080
53.11;260000;APU;NA-TR-RE;1440x900
41.74;260000;APU;NA-TR-RE;1280x720
22.23;260000;APU;NA-TR-NA;1920x1080
194.82;260000;APU;AA-TR-RE;1280x720
84.66;260000;APU;AA-NA-RE;1280x720
14.96;4000;APU;AA-NA-RE;1920x1080
3.80;1000;APU;NA-TR-RE;1280x720
19.80;260000;APU;NA-NA-RE;1280x720
22.62;260000;APU;NA-TR-NA;1920x1080
4.35;4000;APU;NA-NA-RE;1280x720
7.21;1000;APU;AA-NA-RE;1440x900
7.43;1000;APU;AA-TR-RE;1280x720
13.66;65000;APU;NA-NA-RE;1920x1080
23.73;65000;APU;NA-TR-RE;1440x900
7.78;65000;APU;NA-NA-NA;1920x1080
19.06;65000;APU;AA-NA-NA;1440x900
3.48;1000;APU;NA-NA-NA;1280x720
30.58;16000;APU;AA-NA-RE;1920x1080
4.14;4000;APU;NA-NA-NA;1280x720
11.44;65000;APU;NA-NA-RE;1440x900
4.49;1000;APU;NA-TR-RE;1920x1080
10.29;4000;APU;AA-TR-NA;1280x720
15.18;260000;APU;NA-NA-NA;1920x1080
15.49;16000;APU;NA-TR-RE;1920x1080
4.99;16000;APU;NA-NA-NA;1440x900
4.69;4000;APU;NA-NA-RE;1440x900
6.99;4000;APU;AA-NA-NA;1280x720
5.97;16000;APU;NA-NA-RE;1280x720
12.06;65000;APU;NA-TR-NA;1920x1080
10.23;65000;APU;NA-TR-NA;1440x900
7.11;1000;APU;AA-TR-NA;1280x720
15.26;260000;APU;NA-NA-NA;1920x1080
6.46;16000;APU;NA-TR-NA;1280x720
3.81;1000;APU;NA-NA-NA;1440x900
8.36;16000;APU;NA-TR-NA;1920x1080
64.61;260000;APU;NA-TR-RE;1920x1080
14.91;4000;APU;AA-NA-RE;1920x1080
12.52;4000;APU;AA-NA-RE;1440x900
6.18;16000;APU;NA-NA-RE;1280x720
10.47;16000;APU;NA-TR-RE;1280x720
5.46;4000;APU;NA-TR-NA;1440x900
82.95;65000;APU;AA-TR-RE;1280x720
43.95;65000;APU;AA-TR-NA;1920x1080
10.46;4000;APU;AA-NA-RE;1280x720
10.80;4000;APU;AA-TR-NA;1280x720
9.28;65000;APU;NA-NA-RE;1280x720
41.88;260000;APU;NA-TR-RE;1280x720
43.57;16000;APU;AA-TR-RE;1280x720
83.59;65000;APU;AA-TR-RE;1280x720
13.91;65000;APU;NA-NA-RE;1920x1080
76.38;260000;APU;AA-TR-NA;1440x900
5.50;4000;APU;NA-NA-RE;1920x1080
4.68;4000;APU;NA-NA-NA;1440x900
9.16;65000;APU;NA-NA-RE;1280x720
5.88;4000;APU;NA-NA-RE;1920x1080
5.71;4000;APU;NA-TR-NA;1920x1080
8.26;16000;APU;NA-TR-NA;1920x1080
5.53;4000;APU;NA-TR-NA;1920x1080
29.34;65000;APU;NA-TR-RE;1920x1080
111.41;65000;APU;AA-TR-RE;1440x900
4.38;4000;APU;NA-NA-NA;1280x720
6.54;1000;APU;AA-TR-NA;1280x720
4.18;1000;APU;NA-TR-RE;1440x900
8.10;1000;APU;AA-NA-RE;1920x1080
9.86;16000;APU;AA-NA-NA;1280x720
16.62;260000;APU;NA-TR-NA;1280x720
6.22;16000;APU;NA-TR-NA;1280x720
83.28;65000;APU;AA-TR-RE;1280x720
55.11;65000;APU;AA-NA-RE;1920x1080
24.63;4000;APU;AA-TR-RE;1920x1080
46.93;260000;APU;AA-NA-NA;1440x900
7.94;1000;APU;AA-TR-NA;1920x1080
13.48;16000;APU;NA-TR-RE;1440x900
5.17;16000;APU;NA-NA-NA;1440x900
5.63;4000;APU;NA-TR-RE;1280x720
18.28;65000;APU;NA-TR-RE;1280x720
6.35;4000;APU;NA-TR-RE;1440x900
24.04;16000;APU;AA-NA-RE;1440x900
11.54;65000;APU;NA-NA-RE;1440x900
3.78;1000;APU;NA-TR-RE;1280x720
9.95;16000;APU;AA-NA-NA;1280x720
12.55;4000;APU;AA-NA-RE;1440x900
6.11;1000;APU;AA-NA-NA;1440x900
33.30;65000;APU;AA-NA-RE;1280x720
12.20;65000;APU;NA-TR-NA;1920x1080
3.50;1000;APU;NA-NA-RE;1280x720
7.28;4000;APU;NA-TR-RE;1920x1080
66.66;260000;APU;AA-TR-NA;1280x720
9.14;65000;APU;NA-TR-NA;1280x720
23.74;260000;APU;NA-NA-RE;1440x900
65.61;16000;APU;AA-TR-RE;1920x1080
3.87;1000;APU;NA-NA-RE;1440x900
18.56;65000;APU;NA-TR-RE;1280x720
15.08;260000;APU;NA-NA-NA;1920x1080
30.10;65000;APU;AA-TR-NA;1280x720
19.82;260000;APU;NA-NA-RE;1280x720
39.93;260000;APU;AA-NA-NA;1280x720
5.95;65000;APU;NA-NA-NA;1280x720
194.91;260000;APU;AA-TR-RE;1280x720
6.72;1000;APU;AA-NA-NA;1920x1080
5.41;4000;APU;NA-TR-NA;1440x900
44.28;16000;APU;AA-TR-RE;1280x720
24.16;65000;APU;NA-TR-RE;1440x900
22.74;65000;APU;AA-NA-NA;1920x1080
8.81;1000;APU;AA-TR-RE;1440x900
4.64;16000;APU;NA-NA-NA;1280x720
12.55;4000;APU;AA-NA-RE;1440x900
22.70;65000;APU;AA-NA-NA;1920x1080
66.94;260000;APU;AA-TR-NA;1280x720
55.09;260000;APU;AA-NA-NA;1920x1080
11.38;16000;APU;AA-NA-NA;1440x900
4.79;4000;APU;NA-NA-NA;1920x1080
3.70;1000;APU;NA-TR-NA;1280x720
19.11;65000;APU;AA-NA-NA;1440x900
